"","occurrenceID","eventID","basisOfRecord","institutionCode","collectionCode","datasetName","ownerInstitutionCode","language","scientificName","kingdom","phylum","class","order","family","genus"
"1","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"2","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"3","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"4","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"5","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"6","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"7","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"8","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"9","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"10","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
"11","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20120121_01","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20120121","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum"
